strategy,pca_dim,pca_label,silhouette,n_samples,n_classes
all_mean,2,2,-0.5214166641235352,495,99
all_mean,5,5,-0.4369761347770691,495,99
all_mean,10,10,-0.36043447256088257,495,99
all_mean,20,20,-0.29581812024116516,495,99
all_mean,50,50,-0.17328546941280365,495,99
all_mean,2560,full (2560),0.07117968797683716,495,99
name_mean,2,2,-0.6349393725395203,495,99
name_mean,5,5,-0.4422658085823059,495,99
name_mean,10,10,-0.35293781757354736,495,99
name_mean,20,20,-0.29785606265068054,495,99
name_mean,50,50,-0.13164815306663513,495,99
name_mean,2560,full (2560),0.001626482349820435,495,99
non_name_mean,2,2,-0.5807576775550842,495,99
non_name_mean,5,5,-0.5183274149894714,495,99
non_name_mean,10,10,-0.4581938087940216,495,99
non_name_mean,20,20,-0.38371407985687256,495,99
non_name_mean,50,50,-0.2884373664855957,495,99
non_name_mean,2560,full (2560),-0.037037432193756104,495,99
first,2,2,0.0,495,99
first,5,5,0.0,495,99
first,10,10,0.0,495,99
first,20,20,0.0,495,99
first,50,50,0.0,495,99
first,2560,full (2560),0.0,495,99
last,2,2,-0.3362647294998169,495,99
last,5,5,-0.3452383875846863,495,99
last,10,10,-0.2765522301197052,495,99
last,20,20,-0.23437771201133728,495,99
last,50,50,-0.18539579212665558,495,99
last,2560,full (2560),-0.15599726140499115,495,99

