random_face_id,seed,mean_arcface,nearest_celeb,nearest_sim
0,1000,0.2670503735542297,Simu Liu,0.36671674251556396
1,1007,0.25985033214092257,Simu Liu,0.3791283369064331
2,1014,0.3115637362003326,Simu Liu,0.40147995948791504
3,1021,0.24645200967788697,Constance Wu,0.43144285678863525
4,1028,0.25809289515018463,Simu Liu,0.39763110876083374
5,1035,0.1930222898721695,Constance Wu,0.32751527428627014
6,1042,0.2033422738313675,Simu Liu,0.34477779269218445
7,1049,0.16386411786079408,Ken Watanabe,0.2604888677597046
8,1056,0.23032790720462798,Constance Wu,0.38829880952835083
9,1063,0.22808971107006074,Simu Liu,0.331074059009552

