layer,pooling,pca_dim,pca_label,silhouette,n_samples,n_classes
-2,all_mean,2,2,-0.25191178917884827,495,99
-2,all_mean,5,5,-0.22744350135326385,495,99
-2,all_mean,10,10,-0.18498244881629944,495,99
-2,all_mean,20,20,-0.14266307651996613,495,99
-2,all_mean,2560,full (2560),-0.010770476423203945,495,99
-2,name_mean,2,2,-0.32848867774009705,495,99
-2,name_mean,5,5,-0.2511710226535797,495,99
-2,name_mean,10,10,-0.16562050580978394,495,99
-2,name_mean,20,20,-0.041703298687934875,495,99
-2,name_mean,2560,full (2560),0.2390129566192627,495,99
-4,all_mean,2,2,-0.2585040032863617,495,99
-4,all_mean,5,5,-0.23974356055259705,495,99
-4,all_mean,10,10,-0.2042527049779892,495,99
-4,all_mean,20,20,-0.16832220554351807,495,99
-4,all_mean,2560,full (2560),-0.06228729337453842,495,99
-4,name_mean,2,2,-0.32855668663978577,495,99
-4,name_mean,5,5,-0.24864932894706726,495,99
-4,name_mean,10,10,-0.17409786581993103,495,99
-4,name_mean,20,20,-0.047780659049749374,495,99
-4,name_mean,2560,full (2560),0.22799012064933777,495,99
-6,all_mean,2,2,-0.2665577828884125,495,99
-6,all_mean,5,5,-0.24577240645885468,495,99
-6,all_mean,10,10,-0.21345777809619904,495,99
-6,all_mean,20,20,-0.18111175298690796,495,99
-6,all_mean,2560,full (2560),-0.08585179597139359,495,99
-6,name_mean,2,2,-0.32601678371429443,495,99
-6,name_mean,5,5,-0.250083863735199,495,99
-6,name_mean,10,10,-0.1722666472196579,495,99
-6,name_mean,20,20,-0.037993937730789185,495,99
-6,name_mean,2560,full (2560),0.2271023541688919,495,99
-8,all_mean,2,2,-0.27430152893066406,495,99
-8,all_mean,5,5,-0.25403130054473877,495,99
-8,all_mean,10,10,-0.22653725743293762,495,99
-8,all_mean,20,20,-0.19162316620349884,495,99
-8,all_mean,2560,full (2560),-0.09850513935089111,495,99
-8,name_mean,2,2,-0.33767151832580566,495,99
-8,name_mean,5,5,-0.25255870819091797,495,99
-8,name_mean,10,10,-0.14898815751075745,495,99
-8,name_mean,20,20,0.007708778604865074,495,99
-8,name_mean,2560,full (2560),0.25983303785324097,495,99
-10,all_mean,2,2,-0.277882844209671,495,99
-10,all_mean,5,5,-0.2630459666252136,495,99
-10,all_mean,10,10,-0.2368052899837494,495,99
-10,all_mean,20,20,-0.2035474330186844,495,99
-10,all_mean,2560,full (2560),-0.11878356337547302,495,99
-10,name_mean,2,2,-0.3460424542427063,495,99
-10,name_mean,5,5,-0.24671624600887299,495,99
-10,name_mean,10,10,-0.1174786388874054,495,99
-10,name_mean,20,20,0.035399604588747025,495,99
-10,name_mean,2560,full (2560),0.28587085008621216,495,99
-12,all_mean,2,2,-0.2790719270706177,495,99
-12,all_mean,5,5,-0.2687634527683258,495,99
-12,all_mean,10,10,-0.24710948765277863,495,99
-12,all_mean,20,20,-0.21856331825256348,495,99
-12,all_mean,2560,full (2560),-0.15609917044639587,495,99
-12,name_mean,2,2,-0.37538260221481323,495,99
-12,name_mean,5,5,-0.24868474900722504,495,99
-12,name_mean,10,10,-0.09963497519493103,495,99
-12,name_mean,20,20,0.05965039134025574,495,99
-12,name_mean,2560,full (2560),0.28081852197647095,495,99

